#timestamp imgname x y z qx qy qz qw
1779938818.072288 pano/1779938818.072288.jpg 505944.825990 2495881.994254 19.752029 -0.529556 0.436463 -0.246534 0.684319
1779938818.871797 pano/1779938818.871797.jpg 505945.181662 2495881.088684 19.726917 -0.574706 0.391541 -0.166578 0.699042
1779938820.071062 pano/1779938820.071062.jpg 505945.639236 2495879.712393 19.762403 -0.562856 0.413940 -0.204278 0.685651
1779938821.270327 pano/1779938821.270327.jpg 505946.173721 2495878.373410 19.732454 -0.589832 0.369170 -0.148864 0.702603
1779938821.869959 pano/1779938821.869959.jpg 505946.533870 2495877.747508 19.739421 -0.620670 0.335499 -0.099622 0.701630
1779938822.669469 pano/1779938822.669469.jpg 505947.011688 2495876.922355 19.746597 -0.643193 0.277574 -0.056047 0.711417
1779938823.269101 pano/1779938823.269101.jpg 505947.359084 2495876.275991 19.739336 -0.603388 0.331609 -0.126000 0.714201
1779938824.768182 pano/1779938824.768182.jpg 505948.172593 2495874.605052 19.729450 -0.602601 0.357364 -0.118285 0.703684
1779938825.567691 pano/1779938825.567691.jpg 505948.613895 2495873.756440 19.733491 -0.584239 0.325187 -0.103332 0.736370
1779938826.667018 pano/1779938826.667018.jpg 505949.270685 2495872.611717 19.714880 -0.620440 0.314513 -0.095785 0.712012
1779938827.266650 pano/1779938827.266650.jpg 505949.640631 2495871.949955 19.734386 -0.612549 0.351175 -0.150774 0.691901
1779938828.066161 pano/1779938828.066161.jpg 505949.982828 2495871.059613 19.751443 -0.514993 0.465925 -0.328418 0.640185
1779938829.265425 pano/1779938829.265425.jpg 505950.684499 2495869.748580 19.741557 -0.536358 0.452144 -0.350506 0.620509
1779938830.464689 pano/1779938830.464689.jpg 505951.285902 2495868.375614 19.783570 -0.491537 0.454150 -0.390754 0.632021
1779938831.064321 pano/1779938831.064321.jpg 505951.623758 2495867.747796 19.755204 -0.499409 0.478975 -0.373182 0.617987
1779938831.564015 pano/1779938831.564015.jpg 505951.928434 2495867.158658 19.757339 -0.516844 0.434630 -0.357585 0.645059
1779938832.363525 pano/1779938832.363525.jpg 505952.345206 2495866.298729 19.759862 -0.527461 0.422087 -0.376987 0.633646
1779938832.963157 pano/1779938832.963157.jpg 505952.698831 2495865.720182 19.763289 -0.521589 0.455830 -0.378230 0.614090
1779938833.462851 pano/1779938833.462851.jpg 505953.052775 2495865.178245 19.745204 -0.537173 0.412507 -0.345316 0.649646
1779938834.462242 pano/1779938834.462242.jpg 505953.631696 2495864.178708 19.705629 -0.470102 0.470958 -0.388768 0.637230
1779938835.061919 pano/1779938835.061919.jpg 505953.923010 2495863.575905 19.667738 -0.434156 0.517613 -0.379598 0.632053
1779938836.061258 pano/1779938836.061258.jpg 505954.355752 2495862.440986 19.649635 -0.420942 0.525427 -0.393363 0.626099
1779938836.760830 pano/1779938836.760830.jpg 505954.806889 2495861.640017 19.661565 -0.535682 0.491373 -0.360108 0.584739
1779938838.060034 pano/1779938838.060034.jpg 505955.465155 2495860.143269 19.634479 -0.435992 0.505243 -0.434702 0.604710
1779938838.459787 pano/1779938838.459787.jpg 505955.675960 2495859.643387 19.671109 -0.480617 0.506475 -0.400451 0.593406
1779938839.059421 pano/1779938839.059421.jpg 505955.977101 2495858.962850 19.637745 -0.471073 0.525220 -0.423347 0.568340
1779938839.659053 pano/1779938839.659053.jpg 505956.262790 2495858.243052 19.630049 -0.410699 0.538444 -0.400508 0.617250
1779938840.458563 pano/1779938840.458563.jpg 505956.574216 2495857.258638 19.599505 -0.423491 0.555146 -0.373187 0.610901
1779938841.457949 pano/1779938841.457949.jpg 505956.951822 2495856.032325 19.624418 -0.535015 0.499284 -0.339495 0.590946
1779938842.657215 pano/1779938842.657215.jpg 505957.644322 2495854.684651 19.638139 -0.525486 0.490471 -0.289228 0.632178
1779938843.356786 pano/1779938843.356786.jpg 505958.309777 2495853.996450 19.637839 -0.623529 0.367875 -0.140155 0.675453
1779938844.356173 pano/1779938844.356173.jpg 505959.496243 2495853.419298 19.638614 -0.639267 0.239815 -0.064730 0.727762
1779938845.355572 pano/1779938845.355572.jpg 505960.841774 2495853.179238 19.609860 -0.679282 0.180648 0.032914 0.710534
1779938845.755314 pano/1779938845.755314.jpg 505961.337487 2495853.074656 19.569430 -0.635897 0.252570 0.050403 0.727532
1779938846.654762 pano/1779938846.654762.jpg 505962.456101 2495852.873296 19.608991 -0.620332 0.287832 -0.066781 0.726555
1779938847.554211 pano/1779938847.554211.jpg 505963.645550 2495852.787599 19.635232 -0.652437 0.237639 0.008246 0.719573
1779938848.753477 pano/1779938848.753477.jpg 505965.251309 2495852.572010 19.612247 -0.642370 0.207892 -0.007338 0.737623
1779938849.552986 pano/1779938849.552986.jpg 505966.283265 2495852.467227 19.613445 -0.672088 0.248532 0.036295 0.696572
1779938850.052680 pano/1779938850.052680.jpg 505967.012340 2495852.426967 19.615963 -0.681253 0.182180 0.091630 0.703071
1779938851.052067 pano/1779938851.052067.jpg 505968.407121 2495852.431970 19.618713 -0.674484 0.162720 0.063975 0.717288
1779938851.851576 pano/1779938851.851576.jpg 505969.544587 2495852.494730 19.601985 -0.675865 0.181762 0.082926 0.709431
1779938852.451210 pano/1779938852.451210.jpg 505970.371891 2495852.503597 19.557312 -0.618810 0.218781 -0.018166 0.754241
1779938853.250723 pano/1779938853.250723.jpg 505971.552768 2495852.529015 19.590626 -0.708690 0.158259 0.027699 0.686983
1779938853.650473 pano/1779938853.650473.jpg 505972.200839 2495852.479787 19.605780 -0.689605 0.104827 0.098374 0.709774
1779938854.549923 pano/1779938854.549923.jpg 505973.491570 2495852.254520 19.559095 -0.661001 0.202625 0.019921 0.722236
1779938855.549309 pano/1779938855.549309.jpg 505974.969688 2495852.062929 19.546115 -0.677729 0.204761 0.051836 0.704322
1779938856.248881 pano/1779938856.248881.jpg 505975.965229 2495851.905123 19.543611 -0.671664 0.172223 -0.028029 0.720015
1779938857.348206 pano/1779938857.348206.jpg 505977.509222 2495851.771135 19.553362 -0.706640 0.141234 0.035622 0.692419
1779938857.847900 pano/1779938857.847900.jpg 505978.129161 2495851.761976 19.534676 -0.659470 0.206589 0.028158 0.722238
1779938858.547470 pano/1779938858.547470.jpg 505979.070452 2495851.849807 19.541040 -0.713868 -0.028307 0.136302 0.686304
1779938859.346980 pano/1779938859.346980.jpg 505979.593137 2495852.227677 19.460584 -0.542186 -0.463197 0.605784 0.352858
1779938861.145878 pano/1779938861.145878.jpg 505979.699549 2495852.349466 18.980846 -0.363032 -0.600217 0.654724 0.281575
