#timestamp x y z qw qx qy qz
1779938704.423408 505975.008139 2495857.077037 19.563338 -0.134101 0.015870 0.070841 0.988305
1779938704.523408 505974.928132 2495857.184079 19.560769 -0.144132 0.003693 0.063687 0.987500
1779938704.623410 505974.852227 2495857.280577 19.547273 -0.133827 -0.013439 0.069336 0.988485
1779938704.723413 505974.778948 2495857.372480 19.543441 -0.108313 -0.029821 0.064699 0.991561
1779938704.823414 505974.713304 2495857.464710 19.552931 -0.107859 -0.064259 0.068907 0.989691
1779938704.923414 505974.647034 2495857.564159 19.549932 -0.071170 -0.077641 0.067574 0.992139
1779938705.023416 505974.575254 2495857.678135 19.532342 -0.068907 -0.043168 0.063770 0.994647
1779938705.123417 505974.500498 2495857.806165 19.519190 -0.090621 0.002797 0.054287 0.994401
1779938705.223417 505974.425201 2495857.939090 19.525809 -0.074612 0.030484 0.051843 0.995397
1779938705.323419 505974.349821 2495858.063347 19.547465 -0.086565 0.056914 0.086099 0.990886
1779938705.423419 505974.277314 2495858.183413 19.558111 -0.085270 0.064938 0.105804 0.988594
1779938705.523419 505974.208615 2495858.293942 19.549562 -0.071218 0.069301 0.100274 0.989985
1779938705.623420 505974.141741 2495858.394022 19.540989 -0.034187 0.064772 0.078400 0.994228
1779938705.723422 505974.073123 2495858.487699 19.554125 -0.012063 0.058500 0.076610 0.995270
1779938705.823424 505974.010694 2495858.576487 19.568932 -0.017056 0.044659 0.093960 0.994428
1779938705.923425 505973.952015 2495858.671050 19.562714 -0.012594 0.029283 0.089657 0.995463
1779938706.023426 505973.887493 2495858.779352 19.546939 -0.014605 0.016999 0.070131 0.997286
1779938706.123427 505973.817459 2495858.898424 19.541102 -0.042318 0.018665 0.058915 0.997191
1779938706.223428 505973.747804 2495859.019268 19.552183 -0.047383 0.006544 0.058710 0.997128
1779938706.323428 505973.679904 2495859.137945 19.572087 -0.071015 -0.015701 0.067885 0.995039
1779938706.423428 505973.609073 2495859.251996 19.580889 -0.080297 -0.030848 0.061084 0.994419
1779938706.523429 505973.535050 2495859.363400 19.576588 -0.083565 -0.032851 0.046520 0.994874
1779938706.623431 505973.460571 2495859.470522 19.571832 -0.068580 -0.023578 0.039559 0.996582
1779938706.723431 505973.393093 2495859.574434 19.577773 -0.055864 -0.012172 0.053909 0.996908
1779938706.823432 505973.338462 2495859.677579 19.582506 -0.057684 -0.021806 0.080366 0.994856
1779938706.923431 505973.282807 2495859.789111 19.568143 -0.029774 -0.033577 0.086303 0.995258
1779938707.023433 505973.220948 2495859.909689 19.546316 -0.035886 -0.016691 0.086922 0.995429
1779938707.123433 505973.158188 2495860.038213 19.534254 -0.043464 -0.004844 0.070578 0.996547
1779938707.223435 505973.097378 2495860.162141 19.546697 -0.037408 -0.010226 0.065986 0.997067
1779938707.323438 505973.036635 2495860.280116 19.568849 -0.047220 -0.012890 0.069226 0.996399
